,TimeStamp,High,Low,Open,Close,Total Volume,Period Volume,Number of Trades
0,2010-09-17 09:30:00,1133.75,1132.75,1132.75,1133.0,76925,615,0
1,2010-09-17 09:29:00,1132.75,1132.25,1132.25,1132.75,75688,522,0
2,2010-09-17 09:28:00,1132.25,1131.5,1132.25,1132.0,75066,298,0
3,2010-09-17 09:27:00,1132.5,1132.0,1132.0,1132.25,74643,306,0
4,2010-09-17 09:26:00,1131.75,1131.5,1131.5,1131.75,74287,103,0
5,2010-09-17 09:25:00,1131.25,1131.0,1131.0,1131.25,74074,420,0
6,2010-09-17 09:24:00,1131.25,1131.0,1131.25,1131.0,73624,213,0
7,2010-09-17 09:23:00,1131.5,1131.0,1131.5,1131.0,73370,129,0
8,2010-09-17 09:22:00,1131.25,1130.0,1130.0,1131.25,73121,359,0
9,2010-09-17 09:21:00,1130.25,1130.0,1130.0,1130.25,72276,102,0
10,2010-09-17 09:19:00,1129.75,1129.75,1129.75,1129.75,71489,23,0
11,2010-09-17 09:17:00,1129.75,1129.5,1129.75,1129.75,71211,137,0
12,2010-09-17 09:16:00,1130.0,1129.75,1130.0,1129.75,71074,6,0
13,2010-09-17 09:15:00,1130.0,1130.0,1130.0,1130.0,71063,26,0
14,2010-09-17 09:14:00,1130.25,1129.75,1129.75,1130.0,70691,226,0
15,2010-09-17 09:13:00,1130.25,1129.75,1130.0,1130.0,70242,63,0
16,2010-09-17 09:12:00,1130.25,1130.0,1130.25,1130.0,68976,19,0
17,2010-09-17 09:11:00,1130.5,1130.25,1130.25,1130.5,67884,65,0
18,2010-09-17 09:10:00,1130.5,1130.0,1130.0,1130.5,67553,171,0
19,2010-09-17 09:09:00,1130.25,1129.75,1130.0,1129.75,67376,35,0
20,2010-09-17 09:08:00,1130.0,1129.0,1129.0,1130.0,67341,164,0
21,2010-09-17 09:07:00,1129.0,1128.75,1128.75,1129.0,67167,175,0
22,2010-09-17 09:06:00,1129.0,1128.5,1129.0,1128.75,66697,466,0
23,2010-09-17 09:05:00,1129.75,1129.0,1129.75,1129.0,66133,208,0
24,2010-09-17 09:04:00,1130.25,1129.75,1130.0,1129.75,65880,300,0
25,2010-09-17 09:03:00,1130.25,1130.0,1130.25,1130.0,63984,16,0
26,2010-09-17 09:02:00,1130.5,1130.0,1130.5,1130.0,63879,29,0
27,2010-09-17 09:01:00,1130.5,1129.75,1129.75,1130.5,63691,27,0
28,2010-09-17 09:00:00,1130.5,1129.75,1130.25,1129.75,63068,221,0
29,2010-09-17 08:59:00,1130.5,1130.25,1130.5,1130.25,62608,66,0
30,2010-09-17 08:58:00,1130.75,1130.5,1130.75,1130.5,62541,129,0
31,2010-09-17 08:57:00,1130.75,1130.5,1130.5,1130.75,62275,180,0
32,2010-09-17 08:56:00,1130.75,1130.5,1130.75,1130.5,61768,136,0
33,2010-09-17 08:55:00,1131.0,1130.75,1130.75,1131.0,61442,93,0
34,2010-09-17 08:54:00,1130.75,1130.75,1130.75,1130.75,61292,12,0
35,2010-09-17 08:53:00,1131.0,1130.75,1131.0,1130.75,61180,196,0
36,2010-09-17 08:52:00,1131.5,1131.0,1131.5,1131.0,60984,131,0
37,2010-09-17 08:51:00,1132.25,1131.5,1132.25,1131.5,60834,156,0
38,2010-09-17 08:50:00,1132.25,1132.0,1132.0,1132.25,60410,38,0
39,2010-09-17 08:49:00,1132.25,1132.0,1132.0,1132.0,60362,62,0
40,2010-09-17 08:48:00,1132.25,1131.75,1132.25,1132.25,60241,142,0
41,2010-09-17 08:47:00,1132.0,1131.5,1131.5,1132.0,60093,42,0
42,2010-09-17 08:46:00,1131.75,1131.5,1131.5,1131.75,60021,81,0
43,2010-09-17 08:45:00,1131.75,1131.25,1131.25,1131.5,59939,36,0
44,2010-09-17 08:44:00,1131.75,1131.5,1131.5,1131.75,59752,28,0
45,2010-09-17 08:43:00,1132.0,1131.5,1131.75,1131.5,58991,114,0
46,2010-09-17 08:42:00,1132.25,1132.0,1132.0,1132.0,58827,111,0
47,2010-09-17 08:41:00,1132.0,1131.75,1131.75,1132.0,58660,226,0
48,2010-09-17 08:40:00,1132.0,1131.75,1132.0,1131.75,58434,201,0
49,2010-09-17 08:39:00,1131.75,1131.5,1131.75,1131.75,57490,113,0
50,2010-09-17 08:38:00,1131.75,1131.5,1131.5,1131.5,56442,292,0
51,2010-09-17 08:37:00,1131.75,1131.25,1131.25,1131.5,56150,115,0
52,2010-09-17 08:36:00,1131.0,1130.25,1130.5,1131.0,55923,68,0
53,2010-09-17 08:35:00,1130.25,1129.75,1130.0,1130.25,55854,18,0
54,2010-09-17 08:34:00,1130.5,1130.0,1130.5,1130.0,55836,252,0
55,2010-09-17 08:33:00,1131.0,1130.25,1131.0,1130.25,55584,166,0
56,2010-09-17 08:32:00,1131.5,1130.5,1131.0,1130.5,55302,199,0
57,2010-09-17 08:31:00,1131.5,1130.5,1131.5,1131.25,55102,157,0
58,2010-09-17 08:30:00,1132.0,1131.75,1132.0,1131.75,54945,7,0
59,2010-09-17 08:29:00,1131.75,1131.75,1131.75,1131.75,54738,26,0
60,2010-09-17 08:28:00,1132.0,1131.5,1131.5,1131.75,54507,129,0
61,2010-09-17 08:27:00,1131.5,1131.25,1131.5,1131.25,54355,142,0
62,2010-09-17 08:26:00,1131.5,1131.25,1131.25,1131.5,54213,48,0
63,2010-09-17 08:25:00,1131.25,1131.0,1131.0,1131.25,54056,359,0
64,2010-09-17 08:24:00,1130.75,1130.5,1130.5,1130.75,53697,92,0
65,2010-09-17 08:23:00,1130.0,1130.0,1130.0,1130.0,53605,6,0
66,2010-09-17 08:22:00,1130.5,1130.25,1130.25,1130.25,53396,36,0
67,2010-09-17 08:21:00,1130.25,1130.25,1130.25,1130.25,53360,9,0
68,2010-09-17 08:20:00,1130.25,1130.25,1130.25,1130.25,53351,5,0
69,2010-09-17 08:19:00,1130.25,1130.0,1130.0,1130.0,53346,487,0
70,2010-09-17 08:18:00,1130.0,1129.75,1130.0,1129.75,52602,15,0
71,2010-09-17 08:17:00,1130.25,1129.75,1129.75,1130.25,52586,58,0
72,2010-09-17 08:16:00,1130.0,1129.75,1129.75,1129.75,52528,42,0
